categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choose from Three Options,$49 for one set of Ruby eyelash extensions ($99 value),$149 for three sets of Ruby eyelash extensions ($297 value),$59 for one set of Diamond eyelash extensions ($119 value),Ruby eyelash extensions include 80 extension pieces per eye and Diamond eyelash extensions include 100 extension pieces per eye.",JJ Eyelashes,"Limited Time Remaining!,300+ viewed today,1,491 Ratings",Ruby or Diamond Eyelash Extensions at JJ Eyelashes (Up to 51% Off). Three Options Available.,Herald Square,New York,"1,491 Ratings",https://www.groupon.com/deals/jj-eyelashes-herald-sq-1-1
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choose from Five Options,$39 for one basic set of eyelash extensions, up to 50 lashes per eye ($80 value),$49 for one natural set of eyelash extensions, up to 70 lashes per eye ($99 value),$59 for one basic set of eyelash extensions with 5–10 bottom lashes ($110 value),$69 for one natural set of eyelash extensions with 5–10 bottom lashes ($129 value),$199 for three natural sets of eyelash extensions, up to 70 lashes per eye ($297 value)",Cat Eyelash NYC,"Limited Time Remaining!,20+ viewed today,398 Ratings",Basic or Natural Eyelash Extensions at Cat Eyelash NYC (Up to 51% Off). Five Options Available.,Midtown,New York,398 Ratings,https://www.groupon.com/deals/cat-eyelash-nyc-5
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choice of:,Haircut, Blow-Dry, and Style,Haircut, Blow-Dry, Style, and Partial Highlights,Haircut, Blow-Dry, Style, and Full Highlights,Haircut, Blow-Dry, Style, and Single-Process Color,Ammonia-Free Hair Color: Same Color, Less Damage,One of the most produced chemicals in the world, ammonia is found in fertilizers, household cleaners, and—somewhat shockingly—hair dye. Break free from ammonia with Groupon’s look at ammonia-free hair color.,When you color your hair, the dye doesn’t just cling to the outside of each strand. The reason hair color lasts through scores of shampoos and waterpark visits is because it actually penetrates beneath the cuticle, the outermost layer of hair cells that overlap like a snake’s scales. One of the most time-tested tools to get under the cuticle is ammonia. During the coloring process, ammonia makes the cuticle, which normally lies flat, swell and expand. Color then floods the newly porous strand, remaining inside even after the cuticle relaxes (although it won’t return quite to its former sleek state). As color filters in, protein and moisture leak out, causing damage, dryness, and frizz. Other downsides include ammonia’s strong smell and ability to irritate the scalp, effects that can persist the entire time the color is processing.,If ammonia pries open the cuticle with a crowbar, ammonia-free products seek to gently nudge it ajar. The active ingredient in many ammonia-free hair dyes is called monoethanolamine (MEA). Although MEA lifts the scales of the cuticle much less dramatically, color can still slip easily inside when the chemical is paired with a sneakier oil base, rather than traditional color’s water base. As a bonus, the oil tends to leave behind not only pigment but moisture. Other ammonia-free products employ a combination of heat and fatty acids derived from coconut oil to open cuticle doors. Although some stylists have found that ammonia-free products can’t penetrate as well, making them more prone to fading, others say it’s worth it to get hair that feels less dry or over-processed—and dye manufacturers are constantly improving their formulas in hopes of making the gentler technique the industry standard.",Salon Jasna,"Limited Time Remaining!,60+ viewed today,109 Ratings","Haircut, Blow-Dry, Style, and Optional Color Treatment at Salon Jasna (Up to 80% Off)",New York,New York,109 Ratings,https://www.groupon.com/deals/salon-jasna-1
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choose from Four Options,$29 for cut, dry and style ($70 value),$75 for cut, dry, partial highlights and style ($160 value),$109 for cut, dry, full highlights and style ($230 value),$230 for magic sleek hair-straightening treatment ($399 value),Q&A with Eruan Salon and Spa,1.What services does your business offer and what makes your business stand out from the competition?,We offer master coloring, styling and nail services. Our stylists are not just getting classes but are on ongoing education schedule.,2.What was the inspiration to start or run this business?,My partner and I were better at everything and made more sense. We’ve been open for over 12 years now.,3.What do you love most about your job?,Appreciation from satisfied clientele that keeps coming back and referring new clients.,4.What is the best reaction you’ve ever gotten from a customer?,She hugged, kissed me all over and sent 15 or more of her friends.",Eruan Salon and Spa (NY),"Limited Time Remaining!,70+ viewed today,154 Ratings","Cut, Dry and Style w/ Optional Partial or Full Highlights or Straightening @ Eruan Salon and Spa (Up to 59% Off)",Midtown Manhattan,New York,154 Ratings,https://www.groupon.com/deals/eruan-salon-and-spa-ny
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choice of:,Glamour Queen Eyelash Extensions With 80 Lashes Per Eye,Diamond Queen Eyelash Extensions With 130 Lashes Per Eye,Forever Queen Eyelash Extensions With 110 Lashes Per Eye",Forever Eyelash,"Limited Time Remaining!,100+ viewed today,469 Ratings","Glamour, Forever, or Diamond Queen Eyelash Extensions at Forever Eyelash (Up to 59% Off)",Midtown Manhattan,New York,469 Ratings,https://www.groupon.com/deals/forever-eyelash-2
"Local,Food & Drink,Restaurants,Steakhouse","What You'll Get,Choice of:,Dinner for Two, Valid Monday-Thursday,Dinner for Four, Valid Monday- Thursday,See the menu,here,Dinner for Two includes:,Two appetizers (up to $40 value),Two entrees (up to $84 value),Two sides (up to $22 value),Two desserts (up to $24 value),One bottle of wine (up to $30 value),Dinner for Four includes:,Four appetizers (up to $80 value),Four entrees (up to $168 value),Four sides (up to $44 value),Four desserts (up to $48 value),Two bottles of wine (up to $60 value)",Club A Steakhouse,"Limited Time Remaining!,Selling fast!,1,426 Ratings",Dinner for Two or Four at Club A Steakhouse (Up to 48% Off),Midtown East,New York,"1,426 Ratings",https://www.groupon.com/deals/club-a-steak-house-1
"Local,Food & Drink,Restaurants,Steakhouse","What You'll Get,Choice of:,Dinner for Two: One Appetizer, One Entree, One Side, and One Dessert Each, plus Bottle of Wine to Share,Dinner for Four: One Appetizer, One Entree, One Side, and One Dessert Each, plus Bottle of Wine Per Pair,See the,menu",Lincoln Square Steakhouse,"Limited Time Remaining!,400+ viewed today,1,056 Ratings",Dinner for Two or for Four at Lincoln Square Steakhouse (Up to 46% Off),Lincoln Square,New York,"1,056 Ratings",https://www.groupon.com/deals/lincoln-square-steakhouse
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choice of:,One Brazilian Wax,One Brazilian Wax with Full-Leg Waxing",ValEl Salon and Spa,"Limited Time Remaining!,10+ viewed today,1,709 Ratings",One Brazilian Wax with Optional Full-Leg Waxing at ValEl Salon and Spa (Up to 61% Off),Upper East Side,New York,"1,709 Ratings",https://www.groupon.com/deals/valel-salon-and-spa-4
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choose from Three Options,$31.50 for the Bling volume lash set ($80 value),The volume lash set provides an elegant, glamorous, false-lash look with flair extensions, which are not applied individually. Flair lashes are a bundle of extensions tied together and placed on top of 2–3 natural lashes and are available in three sizes: short, medium, and long. The volume lash set lasts 1–2 weeks and includes 80 eyelashes per eye.,$60.50 for the Bling mink/silk lash set ($120 value),Mink lashes are for those looking for a natural extended look. These lashes are applied individually, one by one, to natural eyelashes and are ideal for those with a naturally-full foundation of lashes who would like to add length. Ranging in sizes from 8–15, they can be tailored to each individual and are completely matte in structure. Mink lashes last 2–3 weeks and include 80 eyelashes per eye.,$70.50 for the Bling luxury lash set ($140 value),Luxury lashes are, of course, the most luxurious option. These lashes are applied individually, one by one, to natural eyelashes and are incredibly soft to the touch. With a hollow center, they weight the least, making them a great option for someone after the most natural extensions. Structurally, this lash is flattened at the base, providing length and volume right at the roots. Luxury lashes are the most versatile option, able to provide styles from natural to full-on dramatic. They’re available in lengths 8–15, last 2–3 weeks, and include 80 eyelashes per eye.,Mink vs. Synthetic Eyelashes: Nature Meets Nylon,To help decide between mink or synthetic extensions, read our comparison.,The results of semipermanent eyelash extensions can range from a simple mascara effect to a doe-eyed gaze that could pry Pac-Man from Ms. Pac-Man. Before technicians decide the best length, thickness, and color of lashes with which to create a client’s desired look, you’ll have a choice to make: mink or synthetic? Read on for a breakdown of the two most common options:,Mink:,Feather-soft mink extensions are comfortable to wear and because each lash is an actual hair, they blend in seamlessly with natural lashes. The result is fringe that appears lusher, though not necessarily longer or darker depending on the look of your natural eyelashes.,Mink eyelash extensions are cruelty-free since their individual hairs are brushed harmlessly from the coats of live siberian mink. The hairs then undergo a careful sanitization process to make them hypoallergenic and safe to wear, even for people with animal allergies.,Synthetic:,Less expensive than their mink counterparts, nylon lashes are practically ubiquitous and come in many varieties: natural, neon colored, crystal studded, and outrageously oversized. While most synthetics are heavier than mink lashes, many varieties blend nylon with materials such as silk to lighten the load on natural fringe and provide a softer, more comfortable feel.",Bling Bling Love Lash,"Limited Time Remaining!,200+ viewed today,371 Ratings",Eyelash Extensions at Bling Bling Love Lash (Up to 61% Off),Rutherford,New York,371 Ratings,https://www.groupon.com/deals/bling-bling-love-lash-4
"Local,Personal Services,Electronics Repair,Phone Repair","What You'll Get,Choice of:,iPhone 6 Screen Repair Plus $10 Gift-Card Towards Accessories,iPhone 6 Plus Screen Repair Plus $10 Gift-Card Towards Accessories,iPhone 6S Screen Repair Plus $10 Gift-Card Towards Accessories,iPhone 6S Plus Screen Repair Plus $10 Gift-Card Towards Accessories,iPhone 5, 5c, or 5s Screen Repair Plus $10 Gift-Card Towards Accessories,iPhone 4 or 4s Screen Repair Plus $10 Gift-Card Towards Accessories,iPad 2, 3, or 4 Screen Repair Plus $10 Gift-Card Towards Accessories,iPad mini 1, 2, or 3 Screen Repair Plus $10 Gift-Card Towards Accessories,iPad Air 1 Screen Repair Plus $10 Gift-Card Towards Accessories,Battery Replacement for iPhone 4, 4s, 5, 5c, or 5s Plus $10 Gift-Card Towards Accessories,Battery Replacement for iPhone 6s and 6s+ Plus $10 Gift-Card Towards Accessories,$60 Towards Screen Repair on Any Device (Excludes Apple Device),iPhone 7 Screen Repair Plus $10 Gift-Card Towards Accessories,iPhone 7 Plus Screen Repair Plus $10 Gift-Card Towards Accessories",Repair Institute,"Limited Time Remaining!,100+ viewed today,305 Ratings",Apple Device Screen Repair or Battery Replacement at Repair Institute (Up to 71% Off). 14 Options Available.,Multiple Locations,New York,305 Ratings,https://www.groupon.com/deals/repair-institute-5
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choose from Three Options,$35 for one haircut, style, and deep-conditioning treatment ($80 value),$65 for one haircut, style, and deep-conditioning treatment with partial highlights or single-process color ($170 value),$85 for one haircut, style, and deep-conditioning treatment with full highlights ($225 value),Full vs. Partial Highlights: Exploring New Dimension,Highlights can add dimension to an existing style or double the transformative effect of a new one. Read our guide of the process to prepare for your trip to the salon.,A skilled stylist doesn’t need a pair of scissors to transform a hairdo. The precise application of highlights—which isolate select strands of hair and treat them with a color, lightener, or toner—can become the basis for a brand new look without a single snip or shear. Before entering the salon, however, a client has to decide how much of the hair to highlight. Applied evenly throughout the entire head, full highlights create a natural look that mimics the way hair changes color over time in the sun, adding a sense of dimension and texture to the existing hair. Partial highlights, which are typically cheaper and take less time to apply, serve an altogether different purpose: drawing attention to specific features, such as bangs or newly sharpened antlers, by accenting only the locks on the surface. As a result, partial highlights are somewhat less flexible—losing their effect, for example, when putting your hair up or teasing it out.",NY Elite Hair Salon,"Limited Time Remaining!,60+ viewed today,105 Ratings","Haircut, Style, and Deep Conditioning with Optional Highlights or Color at NY Elite Hair Salon (Up to 62% Off)",Upper East Side,New York,105 Ratings,https://www.groupon.com/deals/ny-elite-unisex-hair-salon
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",K-Bap,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,10% Cash Back After That",20% Cash Back at K-Bap,Midtown Center,New York,47 Ratings,https://www.groupon.com/deals/kbap
"Local,Food & Drink,Restaurants,Indian Restaurants","What You'll Get,Choice of:,$30 Value for Two,$60 Value for Four",Taj Mahal Indian Cuisine,"Limited Time Remaining!,90+ viewed today,161 Ratings",Indian Cuisine for Two or Four at Taj Mahal Indian Cuisine (Up to 50% Off),Central Slope,New York,161 Ratings,https://www.groupon.com/deals/taj-mahal-indian-cuisine-5
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choice of:,Daily Mink Eyelash Extensions (75 Lashes per Eye),Dolled Up Mink Eyelash Extensions (95 Lashes per Eye),Bombshell Mink Eyelash Extensions (115 Lashes per Eye),Glue for sensitive eyes, lasts up to 5 weeks",Baire Hair Removal Specialists,"Limited Time Remaining!,80+ viewed today,114 Ratings","Daily, Dolled Up, or Bombshell Mink Eyelash Extensions at Baire Hair Removal Specialists (Up to 70% Off)",Hell's Kitchen,New York,114 Ratings,https://www.groupon.com/deals/baire-hair-removal-specialists-3
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 25% cash back on your first purchase and 20% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Jasmine Restaurant,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 25% Cash Back,20% Cash Back After That",25% Cash Back at Jasmine Restaurant,Midtown East,New York,14 Ratings,https://www.groupon.com/deals/jasmine-restaurant-10
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,The Deal,$39 for Real Look synthetic silk eyelash extensions ($125 value),$49 for Natural Look synthetic silk eyelash extensions ($150 value),The Real Look includes up to 70 extensions per eye and the Natural Look includes up to 90 extensions per eye; both take about 60 minutes to apply.",Red and White Spa,"Limited Time Remaining!,Selling fast!,1,025 Ratings",Eyelash Extensions with Up to 70 or 90 Extensions Per Eye at Red and White Spa (Up to 69% Off),SoHo,New York,"1,025 Ratings",https://www.groupon.com/deals/red-and-white-spa-6
"Local,Food & Drink,Restaurants,Cafes","What You'll Get,Choice of:,Two $10 vouchers (Each Voucher Good for One Visit),Catered Sandwich Platter That Serves up to 10 People",Terri Financial District ,"Limited Time Remaining!,Selling fast!,627 Ratings","Sandwich Platter for 10 or Two vouchers, Each Good for $10 Worth of Café Food at Terri Financial (Up to 35% Off)",Terri Financial District,New York,627 Ratings,https://www.groupon.com/deals/terri-financial-district
"Local,Food & Drink,Restaurants,Cafes","What You'll Get,Choice of:,238 Madison Ave.: $20 Value,238 Madison Ave: Three $10 vouchers (Each Voucher Good for One Visit),274 West 40th St.: $20 Value,274 West 40th St.: Three $10 vouchers (Each Voucher Good for One Visit)",Piccolo Cafe,"Limited Time Remaining!,80+ viewed today,113 Ratings",Cafe Fare at Piccolo Cafe  (40%  Off). Four Options Available.,Multiple Locations,New York,113 Ratings,https://www.groupon.com/deals/piccolo-cafe-238-madison-ave-and-274-west-40th-st
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,Choose from Four Options,$45 for all-you-can-eat sushi and drinks for two ($71.90 value),$90 for all-you-can-eat sushi and drinks for four ($143.80 value),$26 for all-you-can-eat sushi for two for lunch ($39.90 value),$50 for all-you-can-eat sushi for four for lunch ($79.80 value),See the,menu",Mika Japanese Cuisine & Bar,"Limited Time Remaining!,Selling fast!,1,020 Ratings",All-You-Can-Eat Sushi & Drinks Dinner or Sushi & Teriyaki Lunch at Mika (Up to 37% Off),Mika Japanese Cuisine & Bar,New York,"1,020 Ratings",https://www.groupon.com/deals/mika-japanese-restauarnt
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Cash back rewards will be credited to your card statement within a few days",Eats on Lex,"Pay Nothing to Claim,No Voucher to Present,Use More than Once",10% Cash Back at Eats on Lex,Upper East Side,New York,"1,542 Ratings",https://www.groupon.com/deals/eats-20
"Local,Food & Drink,Cafes & Treats,Bakeries","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 25% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",J'adore Cakes,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 25% Cash Back,10% Cash Back After That",25% Cash Back at J'adore Cakes,East Flatbush,New York,53 Ratings,https://www.groupon.com/deals/jadore-cakes
"Local,Personal Services,Electronics Repair,Phone Repair","What You'll Get,Choice of:,Glass-Only Screen Repair for iPhone 5, 5c, or 5s,Glass-Only Screen Repair for iPhone 6,Glass-Only Screen Repair for iPhone 6 Plus,Glass Only Screen Repair for iPhone 6s,Glass-Only Screen Repair for iPhone 6s Plus,Glass-Only Screen Repair for iPhone 7,Glass Only Screen Repair for iPhone 7 Plus,Glass-Only Screen Repair for iPad 1-4,Glass-Only Screen Repair for iPad Air 1,Glass-Only Screen Repair for iPad Mini 1-3,Battery Replacement for iPhone 5, 5c, 5s, 6, or 6s,Each repair comes with a 12-month warranty.",iPhone Expert Repair,"Limited Time Remaining!,150+ viewed today,568 Ratings",iPhone or iPad Screen Repair at iPhone Expert Repair (Up to 76% Off). 11 Options Available.,Multiple Locations,New York,568 Ratings,https://www.groupon.com/deals/iphone-expert-repair-5
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choose Between Two Options,$32 for one Brazilian wax ($65 value),$79 for three Brazilian waxes ($195 value),Below the Belt: Choosing Between a Brazilian and a Bikini Wax,The difference between a bikini and Brazilian wax is simple yet significant. Check out our guide to help you choose the right one for you.,Both waxing styles involve using hot wax to remove hair from the area below the waist, but the distinction lies in the degree of hair being removed. During a basic bikini wax, an aesthetician removes hair from any area exposed by a typical bathing suit made of fig leaves. This includes the top and sides of the bikini line as well as the inner thighs, if necessary. The Brazilian wax takes it a step further, removing hair from the entire region, front to back. Since many clients prefer to leave a small, trimmed swath of hair in a strip or triangle just below the panty line, some aestheticians may use the term “full Brazilian” to refer to a session in which no hair is left behind.,Naturally, due to the sensitivity of the areas involved, Brazilians tend to be more painful than basic bikini waxes, and most aestheticians will take care to avoid causing pain during the procedure. There are also several steps you can take to minimize discomfort. Experts recommend avoiding any appointment within a week of menstruation, when the skin is most sensitive, and taking an anti-inflammatory such as ibuprofen 30 minutes beforehand can help reduce any swelling that results.",Baire Hair Removal Specialists,"Limited Time Remaining!,20+ viewed today,114 Ratings",One or Three Brazilian Waxes at Baire Hair Removal Specialists (Up to 59% Off),Hell's Kitchen,New York,114 Ratings,https://www.groupon.com/deals/baire-hair-removal-specialists
"Local,Food & Drink,Restaurants,Middle Eastern Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 15% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",A la Turka,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 15% Cash Back,10% Cash Back After That",15% Cash Back at A la Turka,.,New York,13 Ratings,https://www.groupon.com/deals/a-la-turka-27975740
"Local,Food & Drink,Restaurants,Italian Restaurants","What You'll Get,Italian food, like laughter at a comedy show, can be robust or peppered with tomatoes. Have a seriously hearty meal with this voucher.,Choose Between Two Options,$39 for a Italian picnic in the park for two (a $90 value),$75 for a Italian picnic in the park for four (a $180 value),Each picnic includes a basket filled with the following:,One or two antipasti platters with assorted meats, cheeses, and veggies,One or two pasta salads to share,Two or four caprese or combo italiana sandwiches,Italian bread and olive oil for two or four,Biscotti for two or four,Two or four lemon bars,Two or four Poland Spring bottled waters,Vinyl table cloth and utensils,Diners can picnic at nearby Central Park spots such as,Sheep Meadow,or the,Great Lawn",Pappardella,"Limited Time Remaining!,100+ viewed today,920 Ratings",Italian Picnic in the Park for Two or Four from Pappardella (Up to 58% Off),Upper West Side,New York,920 Ratings,https://www.groupon.com/deals/pappardella-3-7
"Local,Beauty & Spas,Hair Removal,Brazilian Wax","What You'll Get,Choice of:,One Chocolate/Sugaring Brazilian Wax,Two Chocolate/Sugaring Brazilian Waxes",Blossom Brows,"Limited Time Remaining!,50+ viewed today,56 Ratings",One or Two Chocolate/Sugaring Brazilian Waxes at Blossom Brows (Up to 65% Off),Brooklyn,New York,56 Ratings,https://www.groupon.com/deals/blossom-brows-threading-salon-13
"Local,Personal Services,Photography,Photographers","What You'll Get,After purchasing this deal, you will need to visit the website listed on your voucher to complete redemption.,Choose Between Two Options,$15.99 for an in-studio photo shoot with eight standard prints of one pose ($119.88  value),Valid for one 10x13, one 8x10, four 5x7, eight 3.5x5 and 16 wallets,Free professional photo shoot, no sitting fees,40% off additional prints, wall art, canvas prints, photo collections and full high-resolution digital album,Pet photos now available. Click,here,for details,$25.99 for an in-studio photo shoot with one high-resolution digital image and nine standard prints of one pose ($179.86 value),Valid for one digital image and one 10x13, one 8x10, four 5x7, four 3.5x5 and 32 wallets,Discount to upgrade to the full high-resolution digital album,Free professional photo shoot, no sitting fees,40% off additional prints, wall art, canvas prints, photo collections,Pet photos now available. Click,here,for details,Click,here,to find the location nearest you.,Like JCPenney Portraits on Facebook.",JCPenney Portraits,"Limited Time Remaining!,150+ viewed today,181,381 Ratings",Photo Shoot with Prints and Optional Digital Image at JCPenney Portraits (Up to 87% Off),Multiple Locations,New York,"181,381 Ratings",https://www.groupon.com/deals/jcpenney-portraits-450-new-york
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choice of:,Regular Eyelash Extensions (80 Lashes Per Eye),Regular Eyelash Extensions (80 Lashes Per Eye) with Eyebrow Tint,Regular Eyelash Extensions (60 Lashes Per Eye),Premium Eyelash Extension (60 Lashes Per Eye),Real Mink Eyelash Extension (60 Lashes Per Eye),Eyelash Extension Adhesive: Super Strong, Super Subtle,Technicians use a special adhesive for individual eyelash extensions that’s available only to trained experts. Read on to see what makes it so special.,Natural-looking yet genetics-defying eyelashes: that’s the goal of eyelash-extension salons. Each tiny extension is attached to an existing lash with a special kind of medical-grade glue that disappears into the lashes so clients can forget they weren’t born looking that way. It’s a delicate process performed by highly trained technicians.",T-Amori,"Limited Time Remaining!,40+ viewed today,64 Ratings","Regular, Premium, or Real Mink Eyelash Extensions at T-Amori (Up to 44% Off)",East Village,New York,64 Ratings,https://www.groupon.com/deals/t-amori-4
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Hair almost always grows back, just like weeds and the Washington Monument. Smooth things over with this voucher.,Choose from Three Options,$17 for an azulene Brazilian wax (a $35 value),$20 for a chocolate Brazilian wax (a $40 value),$25 for a tea-tree Brazilian wax (a $50 value)<p>,Waxing specialists harness natural extracts to achieve a smoother, less painful waxing session: azulene wax
naturally calms the skin, chocolate wax diminishes pain and redness, and tea-tree wax helps stave off ingrown hairs.<p>",Confidence Beauty Salon & Spa,"Limited Time Remaining!,40+ viewed today,1,878 Ratings","Azulene, Chocolate, or Tea-Tree Brazilian Wax at Confidence Beauty Salon & Spa (Up to ﻿51% Off)",Midtown Manhattan,New York,"1,878 Ratings",https://www.groupon.com/deals/confidence-beauty-salon-spa-8
"Local,Food & Drink,Restaurants,American Restaurants","What You'll Get,The Deal,$19 for $35 worth of casual American food and drinks,Click to see the,menu",Session 73,"Limited Time Remaining!,40+ viewed today,301 Ratings",Casual American Dinner and Drinks at Session 73 (Up to 46% Off).,Upper East Side,New York,301 Ratings,https://www.groupon.com/deals/session-73-1-3
"Local,Food & Drink,Restaurants,Cuban Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 15% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Tina's Cuban Cuisine,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,15% Cash Back After That",20% Cash Back at Tina's Cuban Cuisine,"East Side,Midtown,Midtown West,San Juan Hill,Theatre District,West Side",New York,14 Ratings,https://www.groupon.com/deals/tinas-cuban-cuisine-2
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 30% cash back on your first purchase and 15% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Oishi Bay Sushi Restaurant,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 30% Cash Back,15% Cash Back After That",30% Cash Back at Oishi Bay Sushi Restaurant,Midtown Manhattan,New York,215 Ratings,https://www.groupon.com/deals/oishi-bay-sushi-restaurant-6
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Brazillian Waxes,$29 for one ($65 value),$85 for three ($195 value)",Bioxage,"Limited Time Remaining!,10+ viewed today,248 Ratings",One or Three Brazillian Waxes at Bioxage (Up to 56% Off),Midtown Center,New York,248 Ratings,https://www.groupon.com/deals/bioxage-2
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choice of:,Real Look Synthetic Silk Eyelash Extensions (Up to 70 Lashes Per Eye),Natural Look Synthetic Silk Eyelash Extensions (Up to 90 Lashes Per Eye)",Red and White Spa Union Square,"Limited Time Remaining!,40+ viewed today,164 Ratings",Real or Natural Look Synthetic Silk Eyelash Extensions at Red and White Spa Union Square (Up to 69% Off),Downtown Manhattan,New York,164 Ratings,https://www.groupon.com/deals/red-and-white-spa-50-third-avenue-8
"Local,Food & Drink,Restaurants,Bar Food","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 30% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Bar 9 NYC,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 30% Cash Back,10% Cash Back After That",30% Cash Back at Bar 9 NYC,Hell's Kitchen,New York,114 Ratings,https://www.groupon.com/deals/bar-9-nyc-2
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choice of:,Azulene Brazilian Bikini Wax or Azulene Leg Wax,Chocolate Brazilian Bikini Wax or Chocolate Leg Wax,Tea Tree Brazilian Bikini Wax or Tea Tree Leg Wax",Confidence Beauty Salon & Spa,"Limited Time Remaining!,30+ viewed today,1,878 Ratings",Body Waxing Treatments at Confidence Beauty Salon & Spa (Up to 64% Off),Midtown Manhattan,New York,"1,878 Ratings",https://www.groupon.com/deals/confidence-beauty-salon-spa-8-24
"Local,Beauty & Spas,Hair Removal,Electrolysis","What You'll Get,Choose from Four Options,$29 for one 30-minute electrolysis permanent hair-removal session and consultation (a $72 value),$49 for two 30-minute electrolysis permanent hair-removal sessions and consultation (a $144 value),$49 for one 60-minute electrolysis permanent hair-removal session and consultation (a $110 value),$89 for two 60-minute electrolysis permanent hair-removal sessions and consultation (a $220 value)",Nios,"Limited Time Remaining!,60+ viewed today,339 Ratings",One or Two 30- or 60-Minute Electrolysis Permanent Hair-Removal Sessions with Consultation at Nios (Up to 66% Off),New York,New York,339 Ratings,https://www.groupon.com/deals/nios-spa
"Local,Food & Drink,Restaurants,Mexican Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 30% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Serenata Restaurant & Bar,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 30% Cash Back,10% Cash Back After That",30% Cash Back at Serenata Restaurant & Bar,Serenata Restaurant & Bar,New York,491 Ratings,https://www.groupon.com/deals/serenata-restaurant-bar-6
